,First Name,Last Name,DOB,Gender,Selected Race,Guardian First,Guardian Last,Street,City,State,Zip,ELIGIBLE,ERRORS,ERROR TYPE
0,Ronnie,WILLIAMS,1999-01-10,Boy,Black,MAX,COLEMAN,4551 Bicetown Road,Oopstown,ST,10016.0,True,False,None
1,Aria,BABCOCK,2004-04-29,Girl,White,BRAD,BABCOCK,3596 Stone Lane,Oopstown,ST,19464.0,True,False,None
2,Josiah,HECK,2010-11-08,Boy,White,LESLIE,HECK,4771 Poplar Lane,Oopstown,ST,33131.0,True,False,None
3,Paityn,COMPEAN,2000-01-03,Girl,Hispanic,CLEO,COMPEAN,4795 Beechwood Drive,Oopstown,ST,21076.0,True,False,None
4,Grace,KOCH,2004-10-03,Girl,White,PEDRO,KOCH,259 Stewart Street,Oopstown,ST,46202.0,True,False,None
5,Scarlett,EBERT,2000-10-13,Girl,White,DEAN,EBERT,4117 Oak Avenue,Oopstown,ST,60015.0,True,False,None
6,Frankie,YEUNG,2008-05-21,Boy,AAPI,TERRANCE,YEUNG,129 Forest Drive,Oopstown,ST,20200.0,True,False,None
7,Addison,LARSON,2001-12-22,Girl,White,LIDIA,LARSON,1673 Glen Falls Road,Oopstown,ST,19090.0,True,False,None
8,Duncan,MUHAMMAD,2001-04-27,Boy,Black,TESSA,MUHAMMAD,634 Dogwood Road,Oopstown,ST,85034.0,True,False,None
9,Oliver,ROSEN,2000-07-31,Boy,White,DOROTHEA,ROSEN,1256 Quarry Drive,Oopstown,ST,36351.0,True,False,None
10,Kohen,XU,1999-12-01,Boy,AAPI,HALLIE,XU,3355 Williams Lane,Oopstown,ST,67216.0,True,False,None
11,Ellie,SKAGGS,2006-03-26,Girl,White,PAIGE,SKAGGS,350 Tea Berry Lane,Oopstown,ST,54016.0,True,False,None
12,Harley,VILLATORO,2002-06-14,Boy,Hispanic,SUSANA,VILLATORO,2567 Alpha Avenue,Oopstown,ST,75662.0,True,False,None
13,Rohan,VAZQUEZ,1999-10-26,Boy,Hispanic,DUSTIN,VELAZQUEZ,1294 Williams Avenue,Oopstown,ST,93550.0,True,False,None
14,Maximo,TSAO,2008-09-10,Boy,AAPI,GILDA,ZHANG,3073 Pineview Drive,Oopstown,ST,55904.0,True,False,None
15,Erica,GONZALEZ,2007-12-15,Girl,Hispanic,DAN,OCHOA,651 Adonais Way,Oopstown,ST,30071.0,True,False,None
16,Gavin,WILHELM,2005-06-04,Boy,White,GLENNA,WILHELM,3129 Horner Street,Oopstown,ST,44307.0,True,False,None
17,Emerson,BRENNER,1998-10-02,Girl,White,GABRIELLE,BRENNER,1823 Daffodil Lane,Oopstown,ST,22070.0,True,False,None
18,Pyper,BYUN,2002-03-09,Girl,AAPI,WENDI,BYUN,2555 Bird Spring Lane,Oopstown,ST,77053.0,True,False,None
19,Javion,SINGLETON,1998-08-24,Boy,Black,ILA,SINGLETON,3452 Ashmor Drive,Oopstown,ST,58102.0,True,False,None
20,Daniel,ROTH,1999-01-23,Boy,White,MARGRET,ROTH,1521 Metz Lane,Oopstown,ST,78840.0,True,False,None
21,Roselyn,BATTLE,2010-09-01,Girl,Black,FERNANDO,BANKS,1550 James Street,Oopstown,ST,14895.0,True,False,None
22,Ella,FREY,2008-08-05,Girl,White,PETRA,WEINER,437 Hickory Street,Oopstown,ST,84104.0,True,False,None
23,Jaylin,QUACH,2010-03-21,Girl,AAPI,ALFREDA,YI,1902 Fowler Avenue,Oopstown,ST,47374.0,True,False,None
24,Vanessa,BAUGHMAN,2007-03-25,Girl,White,GEORGINA,BAUGHMAN,2880 Tyler Avenue,Oopstown,ST,33128.0,True,False,None
25,Aubrey,CORCORAN,2004-12-23,Girl,White,CLAUDETTE,CORCORAN,604 Bingamon Road,Oopstown,ST,44141.0,True,False,None
26,Jasiah,GONZALEZ,2010-10-13,Boy,Hispanic,MILLIE,GONZALEZ,609 Heather Sees Way,Oopstown,ST,74401.0,True,False,None
27,Ameer,LIM,2009-05-22,Boy,AAPI,CATHRYN,DUONG,3013 Kovar Road,Oopstown,ST,1748.0,True,False,None
28,Timothy,WERNER,2004-12-23,Boy,White,BARBRA,WERNER,4110 Huntz Lane,Oopstown,ST,1862.0,True,False,None
29,Benjamin,GOLDSTEIN,1999-06-19,Boy,White,ESPERANZA,YEAGER,763 Rocket Drive,Oopstown,ST,55417.0,True,False,None
30,Ellie,HANSEN,2007-09-07,Girl,White,SUSANNE,SILVERMAN,4839 South Street,Oopstown,ST,22903.0,True,False,None
31,Case,BAUMAN,2010-03-28,Boy,White,JEANINE,BAUMAN,3309 Rinehart Road,Oopstown,ST,95249.0,True,False,None
32,Liliana,BAUMAN,2004-09-24,Girl,White,SHARRON,BAUMAN,4276 Frank Avenue,Oopstown,ST,1103.0,True,False,None
33,Santiago,HANSEN,2007-03-12,Boy,White,NITA,HANSEN,3694 Middleville Road,Oopstown,ST,66606.0,True,False,None
34,Penelope,WHALEN,2008-08-09,Girl,White,JUSTINE,WHALEN,3386 Joseph Street,Oopstown,ST,53226.0,True,False,None
35,Lucca,GONZALEZ,2004-12-08,Boy,Hispanic,DEBORA,GONZALEZ,889 Wines Lane,Oopstown,ST,77028.0,True,False,None
36,Lewis,MAGANA,2001-08-25,Boy,Hispanic,CLARICE,MAGANA,1671 Bluff Street,Oopstown,ST,21740.0,True,False,None
37,Javier,ODONNELL-REGAN,1998-01-22,Boy,White,WINNIE,ODONNELL-REGAN,2998 Woodland Terrace,Oopstown,ST,95814.0,True,False,None
38,Michael,HAMMER-SCHULTE,2005-01-19,Boy,White,CECIL,HAMMER-SCHULTE,2246 Roosevelt Wilson Lane,Oopstown,ST,91765.0,True,False,None
39,Eleanor,GUSTAFSON,2008-11-05,Girl,White,PAIGE,GUSTAFSON,1521 Metz Lane,Oopstown,ST,1730.0,True,False,None
40,Aiyana,KORNEGAY,2005-09-01,Girl,Black,MARGERY,JACKSON,1302 Spruce Drive,Oopstown,ST,15090.0,True,False,None
41,Cayson,OROZCO,2000-12-20,Boy,Hispanic,DERRICK,OROZCO,988 Cambridge Court,Oopstown,ST,72901.0,True,False,None
42,Camilla,FRITZ,2007-07-20,Girl,White,AVA,FRITZ,2429 Terra Cotta Street,Oopstown,ST,56464.0,True,False,None
43,Madelyn,TUTTLE,2000-12-03,Girl,White,ZACHARY,TUTTLE,3259 Whispering Pines Circle,Oopstown,ST,75287.0,True,False,None
44,Gerald,WILLIAMS,2009-07-01,Boy,Black,LAKEISHA,WILLIAMS,3002 Mcwhorter Road,Oopstown,ST,39201.0,True,False,None
45,Remi,ROBLEDO,2002-02-23,Girl,Hispanic,DAPHNE,ROBLEDO,1579 Coburn Hollow Road,Oopstown,ST,61755.0,True,False,None
46,Cooper,STEINER,2001-11-04,Boy,White,WINNIE,STEINER,261 Kildeer Drive,Oopstown,ST,45769.0,True,False,None
47,Charley,ERICKSON,2007-08-09,Girl,White,RENE,LUDWIG,1011 Broadway Street,Oopstown,ST,29461.0,True,False,None
48,Marjorie,RAMIREZ,1998-01-09,Girl,Hispanic,ISABELLE,ROJAS,2944 Hiney Road,Oopstown,ST,89102.0,True,False,None
49,Roland,RAMIREZ,2007-02-17,Boy,Hispanic,LILLY,RAMIREZ,2586 Carson Street,Oopstown,ST,45202.0,True,False,None
50,Olivia,ROTH,1999-02-01,Girl,White,LATISHA,ROTH,2007 Grim Avenue,Oopstown,ST,92101.0,True,False,None
51,Rex,CERDA,2004-05-20,Boy,Hispanic,ELMER,CERDA,3479 Turkey Pen Lane,Oopstown,ST,36104.0,True,False,None
