,First Name,Last Name,DOB,Gender,Selected Race,Guardian First,Guardian Last,Street,City,State,Zip,SCHOOL_ID
0,Ronnie,WILLIAMS,1999-01-10,Boy,Black,MAX,COLEMAN,4551 Bicetown Road,Oopstown,ST,10016.0,0
1,Aria,BABCOCK,2004-04-29,Girl,White,BRAD,BABCOCK,3596 Stone Lane,Oopstown,ST,19464.0,1
2,Josiah,HECK,2010-11-08,Boy,White,LESLIE,HECK,4771 Poplar Lane,Oopstown,ST,33131.0,2
3,Paityn,COMPEAN,2000-01-03,Girl,Hispanic,CLEO,COMPEAN,4795 Beechwood Drive,Oopstown,ST,21076.0,3
4,Grace,KOCH,2004-10-03,Girl,White,PEDRO,KOCH,259 Stewart Street,Oopstown,ST,46202.0,4
5,Scarlett,EBERT,2000-10-13,Girl,White,DEAN,EBERT,4117 Oak Avenue,Oopstown,ST,60015.0,5
6,Frankie,YEUNG,2008-05-21,Boy,AAPI,TERRANCE,YEUNG,129 Forest Drive,Oopstown,ST,20200.0,6
7,Addison,LARSON,2001-12-22,Girl,White,LIDIA,LARSON,1673 Glen Falls Road,Oopstown,ST,19090.0,7
8,Duncan,MUHAMMAD,2001-04-27,Boy,Black,TESSA,MUHAMMAD,634 Dogwood Road,Oopstown,ST,85034.0,8
9,Oliver,ROSEN,2000-07-31,Boy,White,DOROTHEA,ROSEN,1256 Quarry Drive,Oopstown,ST,36351.0,9
10,Kohen,XU,1999-12-01,Boy,AAPI,HALLIE,XU,3355 Williams Lane,Oopstown,ST,67216.0,10
11,Ellie,SKAGGS,2006-03-26,Girl,White,PAIGE,SKAGGS,350 Tea Berry Lane,Oopstown,ST,54016.0,11
12,Harley,VILLATORO,2002-06-14,Boy,Hispanic,SUSANA,VILLATORO,2567 Alpha Avenue,Oopstown,ST,75662.0,12
13,Rohan,VAZQUEZ,1999-10-26,Boy,Hispanic,DUSTIN,VELAZQUEZ,1294 Williams Avenue,Oopstown,ST,93550.0,13
14,Maximo,TSAO,2008-09-10,Boy,AAPI,GILDA,ZHANG,3073 Pineview Drive,Oopstown,ST,55904.0,14
15,Erica,GONZALEZ,2007-12-15,Girl,Hispanic,DAN,OCHOA,651 Adonais Way,Oopstown,ST,30071.0,15
16,Gavin,WILHELM,2005-06-04,Boy,White,GLENNA,WILHELM,3129 Horner Street,Oopstown,ST,44307.0,16
17,Emerson,BRENNER,1998-10-02,Girl,White,GABRIELLE,BRENNER,1823 Daffodil Lane,Oopstown,ST,22070.0,17
18,Pyper,BYUN,2002-03-09,Girl,AAPI,WENDI,BYUN,2555 Bird Spring Lane,Oopstown,ST,77053.0,18
19,Javion,SINGLETON,1998-08-24,Boy,Black,ILA,SINGLETON,3452 Ashmor Drive,Oopstown,ST,58102.0,19
20,Daniel,ROTH,1999-01-23,Boy,White,ZACHARY,ROTH,4635 Crestview Terrace,Oopstown,ST,78840.0,20
21,Roselyn,BATTLE,2010-09-01,Girl,Black,FERNANDO,BANKS,1550 James Street,Oopstown,ST,14895.0,21
22,Ella,FREY,2008-08-05,Girl,White,PETRA,WEINER,437 Hickory Street,Oopstown,ST,84104.0,22
23,Jaylin,QUACH,2010-03-21,Girl,AAPI,ALFREDA,YI,1902 Fowler Avenue,Oopstown,ST,47374.0,23
24,Vanessa,BAUGHMAN,2007-03-25,Girl,White,GEORGINA,BAUGHMAN,2880 Tyler Avenue,Oopstown,ST,33128.0,24
25,Aubrey,CORCORAN,2004-12-23,Girl,White,CLAUDETTE,CORCORAN,604 Bingamon Road,Oopstown,ST,44141.0,25
26,Jasiah,GONZALEZ,2010-10-13,Boy,Hispanic,MILLIE,GONZALEZ,609 Heather Sees Way,Oopstown,ST,74401.0,26
27,Ameer,LIM,2009-05-22,Boy,AAPI,CATHRYN,DUONG,3013 Kovar Road,Oopstown,ST,1748.0,27
28,Timothy,WERNER,2004-12-23,Boy,White,BARBRA,WERNER,4110 Huntz Lane,Oopstown,ST,1862.0,28
29,Benjamin,GOLDSTEIN,1999-06-19,Boy,White,ESPERANZA,YEAGER,763 Rocket Drive,Oopstown,ST,55417.0,29
30,Ellie,HANSEN,2007-09-07,Girl,White,SUSANNE,SILVERMAN,4839 South Street,Oopstown,ST,22903.0,30
31,Case,BAUMAN,2010-03-28,Boy,White,KIRSTEN,BAUMAN,1889 Freed Drive,Oopstown,ST,95249.0,31
32,Liliana,BAUMAN,2004-09-24,Girl,White,SHARRON,BAUMAN,4276 Frank Avenue,Oopstown,ST,1103.0,32
33,Santiago,HANSEN,2007-03-12,Boy,White,LEA,HANSEN,2347 Nicholas Street,Oopstown,ST,66606.0,33
34,Penelope,WHALEN,2008-08-09,Girl,White,JUSTINE,WHALEN,3386 Joseph Street,Oopstown,ST,53226.0,34
35,Lucca,GONZALEZ,2004-12-08,Boy,Hispanic,DEBORA,GONZALEZ,889 Wines Lane,Oopstown,ST,77028.0,35
36,Lewis,MAGANA,2001-08-25,Boy,Hispanic,CLARICE,MAGANA,1671 Bluff Street,Oopstown,ST,21740.0,36
37,Javier,ODONNELL-REGAN,1998-01-22,Boy,White,WINNIE,ODONNELL-REGAN,2998 Woodland Terrace,Oopstown,ST,95814.0,37
38,Michael,HAMMER-SCHULTE,2005-01-19,Boy,White,CECIL,HAMMER-SCHULTE,2246 Roosevelt Wilson Lane,Oopstown,ST,91765.0,38
39,Eleanor,GUSTAFSON,2008-11-05,Girl,White,PAIGE,GUSTAFSON,1521 Metz Lane,Oopstown,ST,1730.0,39
40,Aiyana,KORNEGAY,2005-09-01,Girl,Black,MARGERY,JACKSON,1302 Spruce Drive,Oopstown,ST,15090.0,40
41,Cayson,OROZCO,2000-12-20,Boy,Hispanic,DERRICK,OROZCO,988 Cambridge Court,Oopstown,ST,72901.0,41
42,Camilla,FRITZ,2007-07-20,Girl,White,AVA,FRITZ,2429 Terra Cotta Street,Oopstown,ST,56464.0,42
43,Madelyn,TUTTLE,2000-12-03,Girl,White,ZACHARY,TUTTLE,3259 Whispering Pines Circle,Oopstown,ST,75287.0,43
44,Gerald,WILLIAMS,2009-07-01,Boy,Black,LAKEISHA,WILLIAMS,3002 Mcwhorter Road,Oopstown,ST,39201.0,44
45,Remi,ROBLEDO,2002-02-23,Girl,Hispanic,DAPHNE,ROBLEDO,1579 Coburn Hollow Road,Oopstown,ST,61755.0,45
46,Cooper,STEINER,2001-11-04,Boy,White,WINNIE,STEINER,261 Kildeer Drive,Oopstown,ST,45769.0,46
47,Charley,ERICKSON,2007-08-09,Girl,White,RENE,LUDWIG,1011 Broadway Street,Oopstown,ST,29461.0,47
48,Marjorie,RAMIREZ,1998-01-09,Girl,Hispanic,ISABELLE,ROJAS,2944 Hiney Road,Oopstown,ST,89102.0,48
49,Roland,RAMIREZ,2007-02-17,Boy,Hispanic,LILLY,RAMIREZ,2586 Carson Street,Oopstown,ST,45202.0,49
50,Olivia,ROTH,1999-02-01,Girl,White,LATISHA,ROTH,2007 Grim Avenue,Oopstown,ST,92101.0,50
51,Rex,CERDA,2004-05-20,Boy,Hispanic,ELMER,CERDA,3479 Turkey Pen Lane,Oopstown,ST,36104.0,51
52,Clinton,MISHRA,2009-09-15,Boy,AAPI,ROSS,MISHRA,415 Clair Street,Oopstown,ST,76628.0,52
53,Eric,OLSEN,2007-03-08,Boy,White,CLEO,OLSEN,533 Marigold Lane,Oopstown,ST,33069.0,53
54,Renata,GONZALEZ,2004-01-22,Girl,Hispanic,ANGELINE,GONZALEZ,2851 Jarvis Street,Oopstown,ST,14211.0,54
55,Connor,WEINSTEIN,2000-01-31,Boy,White,CATALINA,WEINSTEIN,1770 Hilltop Drive,Oopstown,ST,79542.0,55
56,Emmaline,DANTZLER,2001-10-15,Girl,Black,BYRON,WILLIAMS,434 Jarvisville Road,Oopstown,ST,11050.0,56
57,Chevy,JEFFERSON,2010-11-09,Boy,Black,HUGH,TOOMER,2221 Southern Avenue,Oopstown,ST,50103.0,57
58,Sutton,COBBS,2006-04-01,Girl,Black,NADIA,COBBS,885 Eagle Lane,Oopstown,ST,58203.0,58
59,Logan,WHALEN,2005-04-20,Boy,White,SYBIL,HAAS,2121 Skips Lane,Oopstown,ST,85034.0,59
60,Jocelyn,SCHULTZ,2006-05-30,Girl,White,CLAUDETTE,SCHULTZ,4466 Turkey Pen Road,Oopstown,ST,10038.0,60
61,Clara,HARTMAN,2007-06-15,Girl,White,MORGAN,HARTMAN,70 Cherry Camp Road,Oopstown,ST,60148.0,61
62,Anders,BANUELOS,2009-01-24,Boy,Hispanic,BETTE,BANUELOS,3681 Werninger Street,Oopstown,ST,77032.0,62
63,Sarah,KAISER,1999-08-12,Girl,White,LILY,KAISER,3646 Green Avenue,Oopstown,ST,95113.0,63
64,Azaria,TAO,2007-03-17,Girl,AAPI,SALVADOR,KHUU,2630 Mount Street,Oopstown,ST,48607.0,64
65,Claire,MCKENNA,2000-02-03,Girl,White,THERESE,MCKENNA,2934 Fraggle Drive,Oopstown,ST,60540.0,65
66,Kylie,CRONIN,2010-02-16,Girl,White,EARLINE,CRONIN,1522 Bagwell Avenue,Oopstown,ST,34471.0,66
67,Brent,WASHINGTON,2005-01-24,Boy,Black,CHASITY,WASHINGTON,4899 School House Road,Oopstown,ST,39356.0,67
68,Elliot,WILLIAMS,2002-09-09,Girl,Black,KENYA,WILLIAMS,4127 Crummit Lane,Oopstown,ST,68137.0,68
69,Giovani,ROBINSON,2006-10-15,Boy,Black,LONNIE,HOLLINS,2379 Weekley Street,Oopstown,ST,78217.0,69
70,Amani,ESPINOZA,2006-12-25,Girl,Hispanic,NELL,ESPINOZA,1001 American Drive,Oopstown,ST,8096.0,70
71,Clinton,HUYNH,2010-06-27,Boy,AAPI,LYNNETTE,LUU,1024 New York Avenue,Oopstown,ST,90071.0,71
72,Jeremiah,MACDONALD,2003-02-14,Boy,White,KIRSTEN,MACDONALD,555 Thomas Street,Oopstown,ST,60048.0,72
73,Emma,YOST,2005-05-07,Girl,White,RHODA,YOST,2540 Ottis Street,Oopstown,ST,74854.0,73
74,Hunter,MEYER,2000-11-11,Boy,White,STEFANIE,MEYER,2442 Emeral Dreams Drive,Oopstown,ST,60005.0,74
75,Harper,GONZALEZ,2005-04-19,Boy,Hispanic,LIZZIE,GONZALEZ,2557 Stark Hollow Road,Oopstown,ST,81424.0,75
